AÑO,CONCURSO,ÁREA,CARRERA,PLANTEL,OFERTA,ASPIRANTES,PRESENTARON EXAMEN,ACIERTOS MÍNIMOS,SELECCIONADOS
2018,Febrero,4,(429)  DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,22,22,22,44,22
2018,Febrero,4,(430)  LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFIA Y LETRAS,12,23,19,62,12
2018,Febrero,4,(431)  GEOHISTORIA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,18,26,25,54,18
2018,Febrero,4,(432)  LITERATURA INTERCULTURAL,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,25,39,36,66,25
2018,Febrero,4,(433)  HISTORIA DEL ARTE,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,23,58,54,66,24
2018,Febrero,4,(434)  ARTE Y DISEÑO,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,19,232,213,87,20
2018,Febrero,4,(436)  TEATRO Y ACTUACION,FACULTAD DE MUSICA,150,681,617,74,161
2018,Febrero,4,(437)  ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,15,13,11,43,8
2018,Febrero,4,(438)  MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,18,89,81,81,19
2018,Febrero,4,(439)  LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS,LINGUISTICA Y TRADUCCIÓN",12,105,80,87,13
2018,Febrero,4,(440)  TRADUCCION,"ESCUELA NACIONAL DE LENGUAS,LINGUISTICA Y TRADUCCI�N",12,961,852,108,13
2018,Junio,1,(101)  ACTUARIA,FES ACATLAN,12,354,320,102,13
2018,Junio,1,(101)  ACTUARIA,FACULTAD DE CIENCIAS,17,637,525,107,19
2018,Junio,1,(102)  ARQUITECTURA,FACULTAD DE ARQUITECTURA,64,1714,1461,95,68
2018,Junio,1,(102)  ARQUITECTURA,FES ACATLAN,18,633,560,84,18
2018,Junio,1,(102)  ARQUITECTURA,FES ARAGON,30,904,827,83,32
2018,Junio,1,(103)  ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,10,168,146,86,10
2018,Junio,1,(104)  CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,10,295,248,108,10
2018,Junio,1,(105)  DISEÑO INDUSTRIAL,FES ARAGON,5,265,236,94,6
2018,Junio,1,(106)  FISICA,FACULTAD DE CIENCIAS,9,1027,843,113,9
2018,Junio,1,(107)  INGENIERIA CIVIL,FACULTAD DE INGENIERIA,28,556,457,99,30
2018,Junio,1,(107)  INGENIERIA CIVIL,FES ACATLAN,24,476,431,81,24
2018,Junio,1,(107)  INGENIERIA CIVIL,FES ARAGON,44,631,582,78,48
2018,Junio,1,(108)  INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERIA,5,120,96,93,6
